state,code,name,zone,address,geometry_type,coordinates
,HSP,HASANPARTHI RD,,,Point,"[79.50184999999999, 18.078262]"
Rajasthan,GGY,Gagariya,NWR,"State Highway 40, Rajasthan",Point,"[70.734877, 25.741083]"
,NNPR,NONAPAR,,,Point,"[83.969786, 26.353209]"
,MW,MAIRWA,,,Point,"[84.151979, 26.240309]"
,KUY,TIRUPPUR KULIPALAYAM,,,Point,"[77.3893135876, 11.1440279246]"
,PLL,PARLI,,,Point,"[76.559421, 10.800415]"
Tripura,AGTL,Agartala,NFR,"Agartala, Tripura",Point,"[91.278481, 23.792417]"
,MNY,MANKARAI,,,Point,"[76.500232, 10.771526]"
,LDY,LAKKITI,,,Point,"[76.434467, 10.753217]"
,PLPM,PALAPPURAM,,,Point,"[76.398385813, 10.7525187905]"
,OTP,OTTAPPALAM,,,Point,"[76.377993, 10.770046]"
,MNUR,MANNANUR,,,Point,"[76.323555, 10.749322]"
,ZRDE,JIRADEI,,,Point,"[84.256142, 26.220819]"
,SV,SIWAN JN,,,Point,"[84.359267, 26.210724000000003]"
,PCK,PACHRUKHI,,,Point,"[84.415667, 26.162627999999998]"
,DDA,DURAUNDHA JN,,,Point,"[84.45894600000001, 26.086973]"
,CW,CHAINWA,,,Point,"[84.49649600000001, 26.022117]"
Rajasthan,POK,POKRAN,NWR,"National Highway 15, Rajasthan",Point,"[71.923129, 26.930571]"
Rajasthan,OCH,ODHANIYA CHACHA,NWR,"National Highway 15, Rajasthan",Point,"[71.718687, 26.972848]"
,EKMA,EKMA,,,Point,"[84.53637, 25.967099]"
,DDP,DAUDPUR,,,Point,"[84.591425, 25.90709]"
,KPS,KOPA SAMHOTA,,,Point,"[84.65281399999999, 25.851866]"
,BTHL,BITHAULI,,,Point,"[85.29179, 25.817069]"
,GB,GAURI BAZAR,,,Point,"[83.667801, 26.594934000000002]"
,BALR,BAITALPUR,,,Point,"[83.7385572, 26.5526634]"
,DEOS,DEORIA SADAR,,,Point,"[83.7819590961, 26.5076811676]"
,NRA,NUNKHAR,,,Point,"[83.880179, 26.425483]"
,AGMN,Agomoni,,,Point,"[89.786242, 26.225947]"
,BND,BHANDUP,,,Point,"[72.93723505, 19.14200998]"
,ASR,AMRITSAR JN,,,Point,"[74.858025, 31.631511999999997]"
,MUC,MULLURKARA,,,Point,"[76.271415, 10.705843]"
,WKI,WADAKANCHERI,,,Point,"[76.237041, 10.648956]"
Rajasthan,SOG,SURATGARH JN,NWR,"National Highway 15, Rajasthan",Point,"[73.90724800000001, 29.324152]"
Maharashtra,SNV,Sondad,SECR,"National Highway 6, Maharashtra",Point,"[80.094149, 21.079845]"
Rajasthan,QMRS,Kayamsar,NWR,"State Highway 41, Rajasthan",Point,"[75.000562, 28.125576]"
Karnataka,AYB,Aliyabad,SWR,"Bijapur, Karnataka",Point,"[75.758306, 16.878268000000002]"
Rajasthan,MBF,Munabao,NWR,"Barmer, Rajasthan",Point,"[70.276543, 25.742614]"
Orissa,CLDR,Chilikidara,ECoR,"Orissa, Orissa",Point,"[85.827112, 21.243022]"
Rajasthan,KLYT,Kolayat,NWR,"Kolayat, Rajasthan",Point,"[72.95507400000001, 27.835319]"
West Bengal,CLD,CHALSA JN,NFR,"Chalsa, West Bengal",Point,"[88.798213, 26.882215]"
West Bengal,CRX,CARRON,NFR,"National Highway 31C, West Bengal",Point,"[88.9704, 26.880279]"
,ETF,ITARSI F CABIN,,,Point,"[77.774856, 22.61521]"
Jharkhand,CNPI,Chandanpahari,ER,"Chandanpahari, Jharkhand",Point,"[86.953082, 24.404224]"
,MIG,MIDGHAT,,,Point,"[77.647526, 22.828141000000002]"
,BNU,BANDAKPUR,,,Point,"[79.575956, 23.848205999999998]"
Rajasthan,COD,Chhota Gudha,NWR,"Ringas, Rajasthan",Point,"[75.599508, 27.293803]"
,CHQ,CHOKA,,,Point,"[77.638968, 22.864326000000002]"
,MB,MORADABAD,,,Point,"[78.765801, 28.831621000000002]"
Haryana,IRA,ISRANA,NR,"Israna, Haryana",Point,"[76.85285999999999, 29.291379]"
,KRCA,KARACHIYA YARD,,,Point,"[73.132981, 22.380046]"
,BJW,BAJVA,,,Point,"[73.1431251, 22.3662226]"
Tamil Nadu,CLN,KOLLIDAM,SR,"Vallampadugai, Tamil Nadu",Point,"[79.718347, 11.332713]"
,OSHI,OSHI,,,,
Rajasthan,CNA,CHANDERIYA,WR,"Chittorgarh, Rajasthan",Point,"[74.629979, 24.939557999999998]"
Uttar Pradesh,CRC,CHARKHARI ROAD,NCR,"Charkhari, Uttar Pradesh",Point,"[79.74565299999999, 25.307555999999998]"
,BTT,BHATNI JN,,,Point,"[83.934035, 26.381257]"
West Bengal,CSZ,Cossimbazar,ER,"Berhampore, West Bengal",Point,"[88.266903, 24.122264]"
,VRE,VAREDIYA,,,Point,"[73.048979, 21.85838]"
,NIU,NABIPUR,,,Point,"[73.030592, 21.807541]"
,KTTY,KTTY,,,,
,CVJ,CHAVAJ,,,Point,"[73.010489, 21.753134000000003]"
,AKV,ANKLESHWAR JN,,,Point,"[73.000633, 21.623889]"
Assam,CNE,CHANDRANATHPUR,NFR,"National Highway 54, Assam",Point,"[92.71665800000001, 24.984962]"
,PAO,PANOLI,,,Point,"[72.978371, 21.535197]"
Rajasthan,CNL,CHANDAWAL,NWR,"Pali, Rajasthan",Point,"[73.86881457700001, 25.946542716]"
Rajasthan,BFY,BHESANA,NWR,"Marwar, Rajasthan",Point,"[73.7180903, 25.82438]"
,HAT,HATHURAN,,,Point,"[72.969512, 21.501091000000002]"
Karnataka,COL,Coromandel,SWR,"KGF, Karnataka",Point,"[78.257278, 12.97518]"
,KDSD,KUDSAD,,,Point,"[72.91647999999999, 21.37682]"
,SYN,SAYAN,,,Point,"[72.890287, 21.317203]"
Uttar Pradesh,MQP,Makrandpur,NER,"Aonla- Bareilly Link Rd, Uttar Pradesh",Point,"[79.290097, 28.213407]"
,GTX,GOTHANGAM,,,Point,"[72.880104, 21.294043]"
