State,District,avg_RAS,station_count,avg_supply_index,avg_demand_index,total_schedule_rows,avg_route_connectivity
Karnataka,Davanagere,0.49889393889554073,7,0.12095798302930942,0.11487863241469316,328,0.2857142857142857
Karnataka,Dharwad,0.4101384116678266,23,0.10066063327993366,0.12056521067062997,887,2.3043478260869565
Karnataka,Gadag,0.5382427724132812,10,0.061915797047165266,0.045423550326649284,244,0.4
Karnataka,Gulbarga,0.52257044996144,20,0.13300612151369554,0.1064163294044717,1028,0.4
Karnataka,Hassan,0.22939684189000104,14,0.048204235369396206,0.10630487355761702,268,0.5714285714285714
Karnataka,Haveri,0.6668731708974591,9,0.12901577403185122,0.06444796039642908,450,0.0
Karnataka,Kolar,0.4893633088952065,13,0.145623249482993,0.0992097360587169,730,1.0769230769230769
Karnataka,Koppal,0.3522350499362244,7,0.07109032446653027,0.13073605391177667,196,0.0
Karnataka,Mandya,0.3309140730410059,17,0.06954151565462328,0.11776251181096326,466,0.0
Karnataka,Mysore,0.1597049115057166,21,0.04168955187012967,0.17834240364238207,333,3.380952380952381
Karnataka,Raichur,0.5494760316654003,7,0.13708174274237386,0.10716879539185047,370,0.7142857142857143
Karnataka,Ramanagara,0.4559171119730237,6,0.1105849491701582,0.131969993967623,258,0.0
Karnataka,Shimoga,0.18318147486748992,9,0.022877265165045842,0.08148652738828788,82,2.0
Karnataka,Tumkur,0.5342375914005266,16,0.1364465692959574,0.11888910232258357,844,0.25
Karnataka,Udupi,0.7177181311447696,10,0.1084785691859647,0.042406562867850765,422,0.0
Karnataka,Uttara Kannada,0.6264946906081159,14,0.0975035961538474,0.052352721893068443,531,0.35714285714285715
Karnataka,Yadgir,0.6868060536228942,4,0.12638279905160935,0.05175689641847972,196,0.0
Kerala,Alappuzha,0.5739702195256711,20,0.14600132485220452,0.09946867528388498,1127,0.35
Kerala,Ernakulam,0.5977097475633693,16,0.2936784139241868,0.1637674077423491,1783,3.8125
Kerala,Kannur,0.6259208376929113,12,0.1972046485692723,0.11731376715137894,905,1.6666666666666667
Kerala,Kasaragod,0.7553512503193481,10,0.1820906623894655,0.05897481241971771,701,0.2
Kerala,Kollam,0.4492910162979831,17,0.17003467857452917,0.11597874610668038,1103,2.411764705882353
Kerala,Kottayam,0.7600521050288174,9,0.21511714563415538,0.0678832369378992,742,0.8888888888888888
Kerala,Kozhikode,0.5820309334040727,17,0.2103109212332568,0.15096850842137016,1372,0.5882352941176471
Kerala,Malappuram,0.39826682536605695,15,0.11849150663833258,0.1340030015035284,686,0.9333333333333333
Kerala,Palakkad,0.5645955130570808,26,0.16483077620094239,0.06682435824728612,1645,1.1538461538461537
Kerala,Pathanamthitta,0.8546105927868998,1,0.21327097339959078,0.0362824199232213,82,0.0
Kerala,Thiruvananthapuram,0.5627516724217466,20,0.21772577411788596,0.15132027598334055,1649,4.3
Kerala,Thrissur,0.6699832180723345,15,0.3700556397584261,0.14489494400994352,2118,1.2
Madhya Pradesh,Anuppur,0.6788111467276514,11,0.06678181995340722,0.02870969335152102,290,0.0
