pc11_state_id,pc11_district_id,State,District,shrug_population,shrug_households,shrug_area,shrug_population_density,shrug_rail_dist,shrug_city_dist,shrug_city5_dist
3,51,Punjab,Rupnagar,177807,37808.0,55.6,3197.9676258992804,0.0,22.0,30.0
3,52,Punjab,Sahibzada Ajit Singh Nagar,553917,120288.0,172.03,3219.8860663837704,0.0,0.0,8.0
3,53,Punjab,Sangrur,515965,101006.0,159.25,3239.9686028257456,0.0,22.0,26.0
3,54,Punjab,Barnala,190685,39141.0,50.75,3757.3399014778324,0.0,40.0,60.0
4,55,Chandigarh,Chandigarh,1026459,234033.0,109.53,9371.487263763353,0.0,5.0,5.0
5,56,Uttarakhand,Uttarkashi,24305,5688.0,27.02,899.518874907476,138.0,138.0,138.0
5,57,Uttarakhand,Chamoli,59396,14646.0,39.53,1502.5550215026562,166.0,202.0,202.0
5,58,Uttarakhand,Rudraprayag,9925,2660.0,12.75,778.4313725490196,140.0,165.0,185.0
5,59,Uttarakhand,Tehri Garhwal,70139,17023.0,66.11,1060.9438814097716,2.0,45.0,45.0
5,60,Uttarakhand,Dehradun,941941,202889.0,272.29999999999995,3459.2030848329055,0.0,0.0,0.0
5,61,Uttarakhand,Garhwal,112703,25598.0,72.17,1561.6322571705693,0.0,47.0,47.0
5,62,Uttarakhand,Pithoragarh,69605,17759.0,16.5,4218.484848484848,151.0,210.0,270.0
5,63,Uttarakhand,Bageshwar,9079,2054.0,5.5,1650.7272727272727,190.0,190.0,318.0
5,64,Uttarakhand,Almora,62314,15368.0,35.68,1746.4686098654709,90.0,95.0,190.0
5,65,Uttarakhand,Champawat,38343,8212.0,13.04,2940.414110429448,0.0,63.0,123.0
5,66,Uttarakhand,Nainital,371734,76429.0,97.88,3797.8545157335516,0.0,0.0,80.0
5,67,Uttarakhand,Udham Singh Nagar,586760,109936.0,122.20999999999998,4801.243760739711,0.0,24.0,50.0
5,68,Uttarakhand,Hardwar,693094,133627.0,121.24,5716.710656548994,0.0,0.0,60.0
6,69,Haryana,Panchkula,313230,70953.0,70.49000000000001,4443.60902255639,0.0,4.0,8.0
6,70,Haryana,Ambala,500774,106632.0,133.6,3748.3083832335333,0.0,2.0,46.0
6,71,Haryana,Yamunanagar,472829,98771.0,91.36,5175.448774080561,0.0,2.0,30.0
6,72,Haryana,Kurukshetra,279225,57319.0,74.37,3754.538120209762,0.0,22.0,74.0
6,73,Haryana,Kaithal,236011,46255.0,104.3,2262.8092042186004,0.0,16.0,105.0
6,74,Haryana,Karnal,454810,93490.0,68.95,6596.2291515591005,0.0,10.0,102.0
6,75,Haryana,Panipat,555085,113764.0,79.35,6995.400126023945,0.0,1.0,67.0
6,76,Haryana,Sonipat,453364,90174.0,82.00999999999999,5528.155103036216,0.0,3.0,33.0
6,77,Haryana,Jind,305583,58861.0,75.26,4060.364071219771,0.0,19.0,110.0
6,78,Haryana,Fatehabad,179588,35500.0,34.74,5169.487622337363,0.0,48.0,155.0
6,79,Haryana,Sirsa,319248,63076.0,58.98,5412.817904374365,0.0,20.0,252.0
6,80,Haryana,Hisar,553488,109957.0,147.47,3753.2243846206006,0.0,5.0,135.0
6,81,Haryana,Bhiwani,321322,63244.0,58.07,5533.356294127777,0.0,19.0,126.0
6,82,Haryana,Rohtak,446164,89538.0,105.98,4209.888658237403,0.0,4.0,55.0
6,83,Haryana,Jhajjar,243339,48831.0,81.12,2999.741124260355,0.0,8.0,26.0
6,84,Haryana,Mahendragarh,132855,24590.0,32.98,4028.350515463918,0.0,33.0,42.0
6,85,Haryana,Rewari,233430,47744.0,64.89,3597.318539066112,0.0,2.0,33.0
6,86,Haryana,Gurgaon,1042253,237750.0,281.35,3704.4712990936555,0.0,8.0,0.0
6,87,Haryana,Mewat,124106,20305.0,65.28999999999999,1900.842395466381,17.0,28.0,35.0
6,88,Haryana,Faridabad,1438855,295553.0,218.42,6587.560662942954,0.0,10.0,0.0
6,89,Haryana,Palwal,236544,41461.0,47.1,5022.165605095542,0.0,0.0,27.0
7,90,Nct Of Delhi,North West,1353743,258455.0,188.146,7195.17289764332,0.0,2.0,2.0
7,91,,,269289,52381.0,17.63,15274.475326148611,2.0,1.0,1.0
7,92,,,1038490,185299.0,22.801,45545.80939432482,2.0,2.0,2.0
7,93,,,419552,89280.0,12.395,33848.48729326342,2.0,15.0,15.0
7,96,,,657560,127028.0,60.638,10844.025198720276,0.0,2.0,2.0
7,97,,,492051,108022.0,127.973,3844.9594836410806,2.0,1.0,1.0
7,98,,,845856,169785.0,120.477,7020.891954480938,2.0,2.0,2.0
8,99,Rajasthan,Ganganagar,535432,108585.0,94.68,5655.175327418673,0.0,4.0,118.0
8,100,Rajasthan,Hanumangarh,350464,67830.0,73.74,4752.698671006238,0.0,25.0,203.0
8,101,Rajasthan,Bikaner,800384,139973.0,190.9,4192.68727082242,0.0,30.0,30.0
8,102,Rajasthan,Churu,576235,93116.0,202.01,2852.507301618732,0.0,10.0,110.0
8,103,Rajasthan,Jhunjhunun,489079,83396.0,271.04,1804.453217237308,0.0,16.0,125.0
8,104,Rajasthan,Alwar,654451,128203.0,228.54,2863.616872319944,0.0,4.0,75.0
8,105,Rajasthan,Bharatpur,495099,86725.0,151.66,3264.5325069233813,0.0,16.0,60.0
